X,Y,objectid,codigo_via,pr,distanciap,nombre,administra,territoria,latsig,longsig,cat_1,cat_4,cat_5,cat_6,cat_7,link_foto,sector,cat_2,cat_3,ruleid,a_cargo_de,sentido,ubicacion,telefono_peaje,telefono_grua,eje_adicional,eje_adicional_r,eje_grua,cat_e_ie,cat_8,cat_9,cat_ie_10,cat_iee,cat_ieee,cat_iia,cat_eae,cat_ec,cat_e,cat_ie,cat_iie,cat_iiie,cat_ive,cat_ve,cat_vie,cat_viie,d_cat_i,d_cat_ii,d_cat_iii,d_cat_iv,d_cat_v,d_cat_vi,d_cat_vii,d_cat_viii,d_cat_ix,d_cat_ie10,d_cat_iee,d_cat_ieee,d_cat_iia,d_cat_eg,d_cat_ear,d_cat_ea,d_cat_eae,d_cat_ec,d_cat_e,d_cat_ie,d_cat_iie,d_cat_iiie,d_cat_ive,d_cat_ve,d_cat_vie,d_cat_viie
-8130130.76924146,771916.511464586,3895, ,0,0,LOS SANTOS,DEPARTAMENTO,SANTANDER,6.91715957,-73.03435216,0,0,0,0,0,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Piedecuesta - Los Santos,0,0,3,Concesión CONSTRUVICOL S.A,En ambos sentidos, ,037 656 8002 - 316 6058384,037  646 9396 - 320 8003657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , 
-8219813.45607113,560802.822154796,3826,5501,0,0,EL ROBLE,CONCESION ANI,CUNDINAMARCA,45,-73.83964748,8400,30100,35400,0,0,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Bogotá - Chocontá,9300,24300,2,CONCESIÓN BRICEÑO – TUNJA – SOGAMOSO,Sur – Norte // Norte – Sur,Bogotá – Albarracín Km 36,3203409278,3174422284 // 3174341120 //  3174341030 // 3164086968,8600,7200,6000,4600,0,0,0,0,0,0,0,0,0,4300,0,0,0,0,0,0,"Automóviles, Camperos y Camionetas","Buses, Busetas  y Camiones de 2 ejes",Camiones pequeños de dos ejes,Camiones grandes de dos ejes,Camiones de tres y cuatro ejes,, , , , , , , ,Eje Grúa,Eje Adicional Remolque,Eje Adicional, , , ,Especial, , , , , , 
-8270889.12984748,510559.307874416,3892, ,0,0,PEAJE NUEVO SALTO DE TEQUENDAMA,DEPARTAMENTO,CUNDINAMARCA,4.5441315,-74.26847024,9800,13900,26800,41400,44900,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,El Colegio - El Charquito,11800,11900,3,Concesión Troncal del Tequendama.,Aplica en ambos sentidos,Kilómetro 1.4 Vía Chusacá – El Triunfo – Viotá – El Portillo en la Vereda Charquito (Soacha),3114810850,No cuenta con servicio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Categoría I Automóviles y Camperos,Categoría  II Camiones y Buses 2 ejes pequeños,Categoría III Camiones y Buses 2 ejes grandes,Categoría  IV 3 y 4 ejes,Categoría  V 5 Ejes,Categoría  VI 6 Ejes,Categoría VII, , , , , , , , , , , , , , , , , , , 
-8415622.17736257,562741.64526177,3929,29CL03,6,1092,SANT'AGUEDA,CONCESION ANI,CALDAS,119,-75.59882027,10400,12600,30700,38400,44600,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Chinchiná - La Manuela,12600,12600,2,CONCESIÓN AUTOPISTAS DEL CAFE,Ambos sentidos de circulación,Cruce Guayacanes – La Manuela Km 6,(6) 3282720,3138176567 #850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Categoría I Automóviles y Camperos,Categoría II Camiones y Buses 2 ejes pequeños,Categoría III Camiones y Buses 2 ejes grandes,Categoría IV 3 y 4 ejes,Categoría V 5 Ejes,Categoría VI 6  Ejes,Categoría VII, , , , , , , , , , , , , , , , , , , 
-8414349.901225,560328.376261087,3957,29CL03-1,1,211,PAVAS (TRINIDAD I),CONCESION ANI,CALDAS,91,-75.58739122,10400,12600,30700,38400,44600,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Club Campestre - La Trinidad,12600,12600,2,CONCESIÓN AUTOPISTAS DEL CAFE,Ambos sentidos de circulación,Club Campestre – La Trinidad Km. 1 + 200,(6) 3282720,3138176567 #850,0,0,0,3200,0,0,0,0,0,0,0,0,0,0,3300,3700,3900,0,0,0,Categoría I Automóviles y Camperos,Categoría II Camiones y Buses 2 ejes pequeños,Categoría III Camiones y Buses 2 ejes grandes,Categoría IV 3 y 4 ejes,Categoría V 5 Ejes,Categoría VI 6 ejes,Categoría VII, , , , , , , , , , , , ,Categoría IE,Categoría IIE,Categoría IIIE, , , , 
-8118193.50457551,630761.575156314,3875,6211,13,150,EL CRUCERO,INVIAS,BOYACA,32,1,8700,25700,28900,0,0,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3875.pdf,Sogamoso - El Crucero,9400,20200,5,INVIAS,Ambos sentidos de circulación,Via Sogamoso Yopal Km 8+900  Jurisdiccion Sogamoso,3102455402-3134819171,No cuenta con servicio,9000,8700,6600,2200,0,0,0,0,0,0,0,0,0,2000,2400,0,0,0,0,0,"Automóviles, camperos, camionetas y microbuses con ejes de llanta sencilla","Buses, busetas, microbuses con eje trasero de doble llanta y camiones de dos ejes.",Vehículos de pasajeros y de carga de tres y cuatro ejes,Vehículos de carga de cinco ejes.,Vehículos de carga de seis ejes., , , , , , , , ,Eje Grúa,Eje Remolque,Eje Adicional, , , ,CAT ESPECIAL IE,CAT ESPECIAL IIE, , , , , 
-8403577.50519537,1157608.01092703,3905, ,0,0,LA HEROICA,DISTRITO,BOLÍVAR,10.34242003,-75.49062651,2900,10700,16400,0,0,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Variante Mamonal - Gambote,4600,8200,4,CONVIAL,Ambos sentidos de circulación,Variante Mamonal - Gambote,(57) (5)6609002 - 6607822 - 6609125,(57) (5)6609002 - 6607822 - 6609125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Categoría I Livianos y Automóviles,Categoría II Buses y Busetas,Categoría III Camiones de 2 Ejes,Categoría IV Camiones de,Categoría V Camiones de más de 5 Ejes, , , , , , , , , , , , , , , , , , , , , 
-8601601.00545715,142741.242895259,3865,2502,14,400,DAZA,INVIAS,NARIÑO,34,1,0,30700,35500,0,0,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3865.pdf,San Juan de Pasto - Cano,0,23400,5,INVIAS,Norte – Sur,Vía Pasto – Mojarras Km 13 Jurisdicción municipio de Pasto Sector Daza,No tiene,No cuenta con servicio,10100,9800,6700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,Categoría III Camiones y buses 2 ejes grandes,Categoría IV 3 y 4 ejes,Categoría V 5 ejes, , , , , , , , ,Categoría Eje Grúa,Categoría Eje Remolque,Categoría Eje Adicional, , , , , , , , , , 
-8319068.5566758,490658.170981758,3912, ,0,0,PUBENZA,DEPARTAMENTO,CUNDINAMARCA,4.40331639,-74.73146434,8500,14400,21000,28000,32200,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Girardot - Tocaima,9600,10900,3,CONCESIÓN DEVISAB,Norte - Sur // Sur Norte,Vía Chía – La Mesa – Girardot Km 16  Jurisdicción del Municipio de Tocaima,#815 Tigo - 018000953550,#815 Tigo - 018000953550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Categoría I Automóviles y Camperos,Categoría II Camiones y Buses 2 ejes pequeños,Categoría III Camiones y Buses 2 ejes grandes,Categoría IV 3 y 4 ejes,Categoría V 5 Ejes,Categoría VI 6 Ejes,Categoría VII, , , , , , , , , , , , , , , , , , , 
-8288514.41729376,702138.246998363,3920,4511,9,300,ZAMBITO,INVIAS,SANTANDER,138,1,11100,39400,46300,0,0,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3920.pdf,Río Ermitaño - La Lizama,14000,32900,5,Concesionaria Ruta Del Sol,Aplica en ambos sentido de circulación,Vía Rio Ermitaño La Lizama Km 6,3165298178, ,10200,10000,7300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Automóviles y Camperos.,Camiones y Buses 2 ejes.,3 ejes.,4 ejes.,5 ejes, , , , , , , , ,Eje Grúa.,Eje Remolque.,Eje adicional., , , , , , , , , , 
-8267448.20130642,1099808.26623552,3827,8002,67,175,EL DIFÍCIL,CONCESION ANI,MAGDALENA,40,-74.2677508,9200,34100,36600,0,0,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Plato – Pueblo Nuevo,11400,24100,2,Concesión (Yuma),Sur – Norte,KM 67+300 Plato – Pueblo Nuevo,3165298176,018000945566 Opción 1,9000,8700,6500,0,0,0,0,0,0,0,0,0,2600,2700,0,0,0,0,0,0,Automóviles y Camperos,Camiones y Buses  2 ejes,3 y 4 Ejes,5 Ejes,6 Ejes, , , , , , , , ,Eje Grua,Eje Remolque,Eje Adicional, , ,CAT ESPECIAL E, , , , , , , 
-8067262.27462894,883414.862285573,3833,0,0,0,EL ESCOBAL,CONCESION ANI,N. DE SANTANDER,42,-72.46945002,2000,2000,2000,0,0,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Avenida Demetrio  Mendoza,2000,2000,2,Concesionaria San Simón S.A,Sentido Ureña (Venezuela)-Cúcuta,Avenida Demetrio Mendoza vía a Ureña,(7) 5767878,320 345 2139,2000,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Automoviles y Camperos,Camiones y buses 2 ejes pequeños,Camiones y buses 2 ejes grandes,3 y 4 ejes,5 Ejes, , , , , , , , ,Eje Grua,Eje adicional remolque,Eje Adicional, ,Eje Carreño, , , , , , , , 
-8181823.6464761,919465.504429622,3915,7007,14,296,PLATANAL,INVIAS,OCAÑA,94,1,8300,25100,28800,0,0,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3915.pdf,Aguaclara - Río de Oro,9300,19800,5,Concesión ruta el sol, Sur – Norte Ambos sentidos,Km 14 Vía Aguasclaras – Ocaña,Sin número,Sin servicio,9000,8700,6600,200,0,0,0,0,0,0,0,6200,0,200,200,0,12600,14300,0,0,"Automóviles, camperos y camionetas","Buses, busetas y camiones de 2 ejes",Camiones 3 y 4 ejes,5 ejes,6 Ejes, , , , , , , , ,Eje grúa,Eje adicional remolque,Eje adicional, ,Eje cañero, , , , , , , , 
-8398381.5137851,1146416.38744583,4000,90BLB,17,240,PASACABALLOS,CONCESION ANI,BOLIVAR,0,0,8100,24400,28300,28300,28300, ,Variante de Gambote,8800,18700,2,AUTOPISTAS DEL SOL S.A., Sur - Norte // Norte - Sur,Variante de Gambote, ,321 205 72 27,0,0,0,0,0,0,0,0,0,0,0,0,0,3100,0,7600,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , 
-8406714.26369188,495371.04920428,10807,4003,16,10,TÚNEL DE LA LÍNEA TOLIMA,INVIAS,Tolima,0,0,8900,26100,29500,0,0,/,La Línea - Cajamarca,9900,20500,5,,,,,310 304 3854,9100,8800,6700,,,,,,,,,,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8414571.45261516,504072.927180607,10806,4003,15,550,TÚNEL DE LA LÍNEA QUINDÍO,INVIAS,Quindío,0,0,8900,26100,29500,0,0,/,Armenia - La Línea,9900,20500,5,,,,,316 570 34 32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8191165.04726082,795225.353446703,11206,4513,4,0,LA LIZAMA,ANI,Santander,0,0,13700,26600,40500,50700,58600, ,Barrancabermeja -  La Lizama ubicación km 4,16900,21000,2,Ruta del Cacao,Barrancabermeja -  La Lizama (Aplica en ambos sentidos),La Lizama,Sin Referencia,3103910901 - (57) 685 4666,,,,,,,,,,,,,,,,,,,,,"Automóviles, Camperos y Camioneta",Busetas,Camiones pequeños de ejes,Camiones grandes de 2 ejes,Camiones de 3 y 4 ejes,Camiones de 5 ejes,Camiones de 6 ejes o más,,,,,,,,,,,,,,,,,,,
-8270368.30357605,516891.552860351,3887, ,0,0,MONDOÑEDO,DEPARTAMENTO,CUNDINAMARCA,4.63834846,-74.29408445,11200,15600,44800,61600,70300,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,La Mesa - Mosquera,13500,13500,3,CONCESIÓN DEVISAB,Norte - Sur // Sur Norte,Vía Chía – La Mesa – Girardot Km 105 Jurisdicción del Municipio de Bojacá,#815  Tigo - 018000953550,#815  Tigo - 018000953550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Categoría I Automóviles y Camperos,Categoría II Buses y Busetas,Categoría III Camiones y Buses 2 ejes pequeños,Categoría IV Camiones y Buses 2 ejes grandes,Categoría V 3 y 4 ejes Volquetas y Camiones,Categoría VI 5 ejes Volquetas y Camiones,Categoría VII 6 ejes Volquetas y Camiones, , , , , , , , , , , , , , , , , , , 
-8444570.70329741,557198.967568518,3846,2507,24,45,ACAPULCO,CONCESION ANI,RISARALDA,1,-75.85886931,11800,14600,35100,44000,50800,http://hermes.invias.gov.co/carreteras/images/peajes/acapulco.jpg,La Virginia - Remolinos,14600,14600,2,CONCESION PACÍFICO TRES S.A.S  (ODINSA),Aplica en ambos sentidos de circulación,Vía Y de Cerritos  - Cauyá PR2507 Km 24,3219738470,018000423780 – 3219738470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Categoría I Automóviles y Camperos,Categoría II Camiones y Buses 2 ejes pequeños,Categoría III Camiones y Buses 2 ejes grandes,Categoría IV  3 y 4 ejes,Categoría V 5 Ejes, , , , , , , , ,Categoría Eje Grúa,Categoría Eje Remolque,Categoría Eje Adicional, ,Categoría Eje Cañero, , , , , , , , 
-8078602.05530516,862153.912247424,3930,5505,118,1646,LOS ACACIOS,CONCESION ANI,N. DE SANTANDER,71,-72.57131701,6100,25100,28500,0,0,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Pamplona - Cúcuta,8700,19500,2,CONCESIÓN UNIÓN  VIAL RÍO PAMPLONITA,Aplica en ambos sentidos,Km 119+900,(7) 5767878,3203452139,8800,8500,6300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Automoviles y Camperos,Camiones y buses 2 ejes pequeños,Camiones y buses 2 ejes grandes,3 y 4 ejes,5 Ejes, , , , , , , , ,Eje adicional Grúa,Eje adicional remolque,Eje adicional, , , , , , , , , , 
-8176213.36154709,474777.335796228,3842,6510,29,557,VERACRUZ,CONCESION ANI,META,135,-73.44817429,6700,6650,9600,12900,14450,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Cumaral - Barranca de Upía,6650,4250,2,Concesión Vial del Oriente - COVIORIENTE S.A.S,Bidireccional,Vía Cumaral – Paratebueno Km 29+555,3168341260,3178942293  - 018000180818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Automóviles, Camperos y Camionetas y microbuses con ejes de llanta sencilla de servicio público","Buses, busetas, microbuses con eje trasero de doble llanta",Camiones pequeños de dos (2) ejes,Camiones grandes de dos (2) ejes,Vehículos de tres (3) y cuatro (4) ejes,Vehículos de cinco (5) ejes,Vehículos de seis (6) ejes, , , , , , , , , , , , , , , , , , , 
-8488487.78463558,442520.149644073,3927,25505,78,131,BETANIA,DEPARTAMENTO,VALLE DEL CAUCA,11,-76.25331342,8200,34000,37700,0,0,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Buga - Andalucía,10600,25000,3,PISA Proyectos de Infraestructura S.A., Sur - Norte // Norte - Sur,Vía Cali - Andalucia  Km 78+225,3155602442,3155602442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , 
-8435301.57146007,594463.141822637,3931,2508,17,150,SAN CLEMENTE,INVIAS,CALDAS,115,1,8700,25700,28900,0,0,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3931.pdf,Cauyá - La Felisa,9400,20200,5,INVIAS,Ambos sentidos de circulación,Vía Cauyá - El Palo,3102454264,No cuenta con servicio,9000,8700,6600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Automoviles y camperos,Camiones y buses de 2 ejes pequeños,Camiones y buses de 2 ejes grandes,3 y 4 ejes,5 ejes, , , , , , , , ,Eje grúa,Eje remolque,Eje adicional, , , , , , , , , , 
-8107931.6057044,458212.259647373,3876,4008,16,237,CASETABLA,CONCESION ANI,META,19,-72.83478884,4400,4800,19700,25000,28100,http://hermes.invias.gov.co/carreteras/images/peajes/casetabla.jpg,Puerto López - Puerto Gaitán,4800,4800,2,Concesión Autopistas de los Llanos,Oriente,Vía Puerto López – Puerto Gaitán Km 16+250,3102466017,018000918624 Operadores Claro – Movistar #765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Automóviles y Camperos,Camiones y Buses 2 ejes pequeños,Camiones y Buses 2 ejes grandes,3 y 4 ejes,5 Ejes,CAT VI,CAT VII, , , , , , , , , , , , , , , , , , , 
-8232350.43000343,741418.490260819,3937,4511,83,900,AGUAS NEGRAS,INVIAS,SANTANDER,2,1,11100,39400,46300,0,0,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3937.pdf,Río Ermitaño - La Lizama,14000,32900,5,Concesionaria Ruta Del Sol,Aplica en ambos sentido de circulación,Vía Rio Ermitaño La Lizama Km 84,3165298177,No cuenta con servicio,10200,10000,7300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Automóviles y Camperos.,Camiones y Buses 2 ejes.,3 ejes.,4 ejes.,5 ejes., , , , , , , , ,Eje Grúa.,Eje Remolque.,Eje adicional., , , , , , , , , , 
-8421770.20667659,702401.549034207,3877,0,0,0,SAN CRISTÓBAL,CONCESION ANI,ANTIOQUIA,6.29706501,-75.65404896,16200,51900,62100,0,0,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Puente Aurrá - Medellín,18300,39900,2,DESARROLLO VIAL AL MAR SAS,Santa Fe de Antioquia - Medellín,"Oriente Occidente Km 39+600 Occidente Oriente Km 44+800, vía Santa Fe de Antioquia Medellín",(1) 2863300,3176676335   018000400016,6300,0,0,7900,0,0,0,0,0,0,0,0,0,8100,9200,0,0,0,0,0,Automóviles y Camperos,Camiones y Buses 2 Ejes pequeños,Camiones y Buses 2 Ejes grandes,3 y 4 ejes,5 ejes, , , , , , , , , , ,Eje Adicional, , , , , , , , , , 
-8398322.66785324,1159263.77064336,3883,9005,96,420,TURBACO,CONCESION ANI,BOLIVAR,130,-75.44353683,3100,0,0,0,0,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Cruz del Viso - Cartagena,7600,9300,2,Ruta Caribe,Ambos sentidos de circulación,Km 60+00 y 68+00 Ruta 9005 Troncal de Occidente,3212057230,3212057227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3100,0,0,0,0,0,Automóviles y Camperos,Camiones y Buses 2 ejes Pequeños,Camiones y Buses 2 ejes Grandes, , , , , , , , , , , , , , , , , , , , , , , 
-8362923.61791815,1082882.6610552,3849,2515,60,667,EL CARMEN,CONCESION ANI,BOLIVAR,38,-75.12542106,8800,25600,28800,0,0,http://hermes.invias.gov.co/carreteras/images/peajes/el_carmen.jpg,Puerta de Hierro - Carreto,9600,20100,2,Autopista de la sabana,Ambos sentidos de circulación,Km 70+500 Troncal de Occidente Ruta 2515 Vía Sincelejo – Calamar,3162954845,3162954845 - #270 Claro,8700,8400,6400,1400,0,0,0,0,0,0,0,0,0,1400,1400,0,0,0,0,0,Automóviles y Camperos,Camiones y Buses 2 ejes Pequeños,Camiones y Buses 2 ejes Grandes,3 y 4 Ejes,5 Ejes, , , , , , , , ,Eje grúa,Eje remolque,Eje adicional, , , ,Categoría especial IE,Categoría especial IIE, , , , , 
-8209218.65437038,638687.723318142,3953,45A05,66,500,SABOYÁ,INVIAS,BOYACÁ,112,1,8600,30100,35200,0,0,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3953.pdf,Ubaté - Puente Nacional,9300,24200,5,INVÍAS,Ambos sentidos de circulación,Vía Ubate Puente Nacional  Km 66+200 Jurisdicción Saboyá,Sin numero,Sin numero,10200,10000,7000,2300,0,0,0,0,0,0,0,0,0,2100,2300,0,0,0,0,0,Automóviles y Camperos,Camiones y Buses 2 ejes pequeños,Camiones y Buses 2 ejes grandes,3 y 4,5 ejes, , , , , , , , ,Eje Grúa,Eje Adicional Remolque,Eje Adicional, , , ,CAT ESPECIAL IE,CAT ESPECIAL IIE, , , , , 
-8231579.06519171,536024.535721818,3850,5009,0,0,LA CABAÑA,CONCESION ANI,CUNDINAMARCA,61,-73.94553287,9600,34300,46900,47300,0,http://hermes.invias.gov.co/carreteras/images/peajes/la_cabana.jpg,Bogotá (Los Patios) - Guasca,15100,23400,2,PERIMETRAL ORIENTAL DE BOGOTÁ S.A.S,Norte – Sur,La Calera – Briceño Km 21+800,3112178121,"3102399451, 3162340275, #762 y 018000181762",8700,8400,6400,0,0,0,0,0,0,0,0,6700,0,0,10300,0,0,0,0,0,Categoría I Automóviles y Camperos,Categoría II Camiones y Buses  2 ejes pequeños,Categoría III Camiones y Buses 2 ejes grandes,Categoría IV 3 y 4 ejes,Categoría V 5 Ejes,Categoría VI 6 Ejes, , , , , , , ,Categoría Eje Grúa,Categoría Eje Adicional Remolque,Categoría Eje Adicional, ,Categoría Eje Cañero, , ,Categoría IIE, , , , , 
-8238819.98718758,519737.678189404,3851,5009,21,639,LOS PATIOS,CONCESION ANI,CUNDINAMARCA,90,-74.01057918,9600,34300,46900,47300,0,http://hermes.invias.gov.co/carreteras/images/peajes/patios.jpg,Bogotá (Los Patios) - Guasca,15100,23400,2,INVIAS – VIPSA,Sur – Norte,La Calera – Briceño Km 0+050,3118179035,"3102399451, 3162340275, #762 y 018000181762",8700,8400,6400,4900,0,0,0,0,0,5400,0,6700,0,5100,10300,0,0,0,0,0,Categoría I Automóviles y Camperos,Categoría II Camiones y Buses 2 ejes pequeños,Categoría III Camiones y Buses 21 ejes grandes,Categoría IV 3 y 4 ejes,Categoría V 5 Ejes,Categoría VI 6 Ejes, , , , , , , ,Categoría Eje Grúa,Categoría Eje Adicional Remolque,Categoría Eje Adicional, ,Categoría Eje Cañero, ,Categoría IE,Categoría IIE, , , , , 
-8305962.38425713,612878.89009279,3852,5008B,0,0,EL KORÁN,CONCESION ANI,CUNDINAMARCA,5.49727588,-74.61350965,12800,53100,66000,78300,0,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,El Korán - Guaduas,18000,25400,2,CONCESIÓN HELIOS,Sur – Norte Variante Guaduas - Intersección Koran, Bogotá – Medellín - Norte,(1) 5188489,3185166166 / 018000914181,9100,8800,6500,2700,0,0,0,0,0,0,0,0,0,2800,2800,0,0,0,0,0,Categoría I Automóviles y Camperos,Categoría II Camiones y Buses 2 ejes pequeños,Categoría III Camiones y Buses 2 ejes grandes,Categoría IV 3 y 4 ejes,Categoría V 5 Ejes,Categoría VI 6 Ejes, , , , , , , ,Eje Grúa,Eje Adicional Remolque,Eje Adicional, , , ,Categoría Especial IE,Categoría Especial IIE, , , , , 
-8415093.64188244,665660.181991087,3856,2509,38,824,VERSALLES (PRIMAVERA),CONCESION ANI,ANTIOQUIA,96,-75.59404508,8300,24400,27400,0,0,http://hermes.invias.gov.co/carreteras/images/peajes/primavera.jpg,La Pintada - Primavera,9000,19200,2,CONCESION LA PINTADA S.A.S. (ODINSA),Sur – Norte,"KM 38+800 RUTA  2509, Via Medellin - La Pintada",3173673153,3185018100  - #272 Claro Movistar y Tigo,8700,8400,6400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Categoría I Automóviles y Camperos,Categoría II Camiones y Buses 2 Ejes,Categoría III - 3 ejes,Categoría IV - 4 ejes,Categoría V - 5 ejes, , , , , , , , ,Categoría Eje Grúa,Categoría Eje Remolque,Categoría Eje adicional, ,Categoría Eje Cañero, , , , , , , , 
-8406366.49291972,705854.776942768,3858,6004,6,950,GUARNE,CONCESION ANI,ANTIOQUIA,55,-75.51551355,12000,20900,41600,59300,59300,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Medellín - Santuario,20900,16700,2,Concesión Devimed,Oriente,Km 7 Autopista Medellín - Bogotá,018000518427  - 408-08-42 - 3860085,#618 - 018000518427 -  (4) 3860085,0,0,0,8800,0,0,0,0,0,0,0,0,0,9000,0,0,0,0,0,0,Automóviles y camperos y camionetas,Buses,Camiones pequeños de 2 ejes,Camiones grandes de 2 ejes,Camiones de 3 y 4 ejes,Camiones de 5 ejes,Camiones de 6 ejes, , , , , , , , , , , , ,Categoría Especial, , , , , , 
-8382573.18095247,310212.000491299,3857,4505,98,628,LOS CAUCHOS,CONCESION ANI,HUILA,72,-75.30193609,8300,24400,27400,0,0,http://hermes.invias.gov.co/carreteras/images/peajes/los_cauchos.jpg,Garzón - Neiva,9000,19200,2,Concesión Rodovias Colombia S.A.S,Aplica en ambos sentidos de circulación,Vía Garzon – Neiva Km 98+499 Jurisdicción Municipio de Rivera,320 995 5541,311 260 50 25  - #296,8700,8400,6400,5100,0,0,0,0,0,0,0,6700,0,5300,2200,0,0,0,0,0,Categoría I Automóviles y Camperos,Categoría II Camiones y Buses 2 ejes pequeños,Camiones y Buses 2 ejes grandes,3 y 4 ejes,5 Ejes, , , , , , , , ,Eje Grúa,Eje Remolque,Eje Adicional, , , ,Categoría IE, , , , , , 
-8417601.62325582,550494.451740419,3870,2902,20,762,TARAPACÁ I,CONCESION ANI,RISARALDA,122,-75.61656814,11500,15200,38100,50400,56300,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,La Romelia - Río Campo Alegre,15200,15200,2,CONCESIÓN AUTOPISTAS DEL CAFE,Ambos sentidos de circulación,Vía Pereira – Manizales Km. 20 + 200,(6) 3282720,3138176567 #850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Categoría I Automóviles y Camperos,Categoría II Camiones y Buses 2 ejes pequeños,Categoría III Camiones y Buses 2 ejes grandes,Categoría IV 3 y 4 ejes,Categoría V 5 Ejes,Categoría VI 6 Ejes,Categoría VII, , , , , , , , , , , , , , , , , , , 
-8256394.50960648,1187789.28057089,3916,4518,48,678,TUCURINCA,CONCESION ANI,MAGDALENA,128,-74.1684538,8500,28800,33400,0,0,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Paso Nacional por Aracataca - Ye de Ciénaga,9400,21900,2,Concesión (Yuma),Norte – Sur,KM 50 Rio Ariguani – Ye de Cienaga,3176486588,018000945566 Opción 1,10300,9800,7000,0,0,0,0,0,0,0,0,0,0,0,0,11100,14600,16800,0,0,Automóviles y Camperos,Camiones y Buses 2 ejes pequeños,Camiones y Buses 2 ejes grandes,3 y 4 Ejes,5 Ejes, , , , , , , , ,Eje Grua,Eje Adicional Remolque,Eje Adicional, , , , , , , , , , 
